,open,high,low,close,volume,symbol,extraction_time
2025-12-03 17:20:00,302.56,302.57,302.56,302.57,4,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:25:00,302.57,302.6,302.51,302.6,51,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:35:00,302.6,302.62,302.6,302.62,24,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:40:00,302.55,302.55,302.55,302.55,4,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:45:00,302.55,302.55,302.5,302.5,7,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:50:00,302.54,302.54,302.5,302.5,55,IBM,2025-12-04 20:16:22.002055
2025-12-03 17:55:00,302.21,302.48,302.21,302.48,41,IBM,2025-12-04 20:16:22.002055
2025-12-03 18:05:00,302.48,302.48,302.48,302.48,16,IBM,2025-12-04 20:16:22.002055
2025-12-03 18:20:00,302.3,302.51,302.3,302.4801,257,IBM,2025-12-04 20:16:22.002055
2025-12-03 18:30:00,302.62,302.62,302.2607,302.2607,722983,IBM,2025-12-04 20:16:22.002055
2025-12-03 18:35:00,302.212,302.212,302.212,302.212,1,IBM,2025-12-04 20:16:22.002055
2025-12-03 18:40:00,302.48,302.48,302.48,302.48,4,IBM,2025-12-04 20:16:22.002055
2025-12-03 18:45:00,302.68,302.68,302.46,302.46,2,IBM,2025-12-04 20:16:22.002055
2025-12-03 18:55:00,302.48,302.48,302.42,302.42,25,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:00:00,302.62,302.62,302.4,302.4,722894,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:05:00,302.42,302.62,302.4,302.5963,126,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:10:00,302.68,302.68,302.68,302.68,12,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:15:00,302.5,302.68,302.5,302.68,45,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:20:00,302.41,302.41,302.2,302.2,27,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:25:00,302.61,302.68,302.61,302.68,61,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:45:00,302.62,302.62,302.1947,302.1947,43,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:50:00,302.6,302.6,302.59,302.59,3,IBM,2025-12-04 20:16:22.002055
2025-12-03 19:55:00,302.2,302.2,302.0,302.0,44,IBM,2025-12-04 20:16:22.002055
