,open,high,low,close,volume,symbol,extraction_time,close_lag_1,volume_lag_1,close_lag_2,volume_lag_2,close_lag_3,volume_lag_3,close_lag_5,volume_lag_5,close_lag_10,volume_lag_10,close_rolling_mean_5,close_rolling_std_5,volume_rolling_mean_5,close_rolling_mean_10,close_rolling_std_10,volume_rolling_mean_10,close_rolling_mean_20,close_rolling_std_20,volume_rolling_mean_20,price_change,price_change_pct,returns,volatility,volatility_pct,hour,day_of_week,month,sma_5,sma_20,ema_5,ema_20,rsi,target
2025-12-02 16:15:00,301.78,302.6,301.78,301.96,11,IBM,2025-12-03 07:53:08.808114,302.0,964219.0,301.51,760.0,301.78,2073486.0,302.2,118054.0,302.445,59992.0,301.816,0.19346834366929985,695950.2,302.4705,0.7903250034706127,383280.5,302.514,0.5623390997938695,215908.9,0.18000000000000682,0.05964609980780928,-0.00013245033112585514,0.82000000000005,0.2715591469068917,16,1,12,301.816,302.514,301.99520632352386,302.59270090381455,41.046511627906554,301.78
2025-12-02 16:20:00,301.96,302.01,301.78,301.78,1960,IBM,2025-12-03 07:53:08.808114,301.96,11.0,302.0,964219.0,301.51,760.0,301.83,441275.0,303.12,58007.0,301.806,0.1938556163802059,608087.2,302.3365,0.7815157992287696,377675.8,302.46524999999997,0.5822562173396136,213956.75,-0.18000000000000682,-0.05961054444297484,-0.0005961054444297842,0.2300000000000182,0.07621446086553722,16,1,12,301.806,302.46524999999997,301.92347088234925,302.51530081773694,38.154897494305125,301.908
2025-12-02 16:25:00,302.6,302.6,301.78,301.908,238,IBM,2025-12-03 07:53:08.808114,301.78,1960.0,301.96,11.0,302.0,964219.0,301.78,2073486.0,303.54,72892.0,301.8316,0.1979717151568188,193437.6,302.17330000000004,0.6638072092941311,370410.4,302.43165,0.5945455827764887,211504.1,-0.6920000000000073,-0.22868473231989667,0.00042415004307794213,0.82000000000005,0.27160591968415876,16,1,12,301.8316,302.43165,301.9183139215662,302.4574626446191,43.88997078870502,302.04
2025-12-02 16:30:00,301.98,302.04,301.78,302.04,72,IBM,2025-12-03 07:53:08.808114,301.908,238.0,301.78,1960.0,301.96,11.0,301.51,760.0,303.5,49178.0,301.93760000000003,0.10074125273225196,193300.0,302.0273,0.47260931715998605,365499.8,302.4164,0.600764197544808,208760.3,0.060000000000002274,0.019868865487781398,0.00043721928534523613,0.26000000000004775,0.08608131373329617,16,1,12,301.93760000000003,302.4164,301.9588759477108,302.41770429751256,44.45783132530165,302.59
2025-12-02 16:35:00,301.9,302.59,301.9,302.59,99,IBM,2025-12-03 07:53:08.808114,302.04,72.0,301.908,238.0,301.78,1960.0,302.0,964219.0,303.265,54923.0,302.0556,0.31333177304892335,476.0,301.9598,0.2885603345340992,360017.4,302.4334,0.600618225356685,206141.35,0.6899999999999977,0.22855250082808803,0.001820950867434723,0.6899999999999977,0.22803132952179442,16,1,12,302.0556,302.4334,302.1692506318072,302.4341134120352,51.560818083961024,302.59
2025-12-02 16:40:00,302.2,302.59,302.01,302.59,113,IBM,2025-12-03 07:53:08.808114,302.59,99.0,302.04,72.0,301.908,238.0,301.96,11.0,302.2,118054.0,302.1816,0.38398281211779317,496.4,301.99879999999996,0.34539021410537973,348223.3,302.4259,0.5975166943266352,202465.8,0.38999999999998636,0.12905360688285453,0.0,0.5799999999999841,0.1916785088733878,16,1,12,302.1816,302.4259,302.3095004212048,302.4489597537461,43.324937027707584,302.57
2025-12-02 16:45:00,301.8948,302.57,301.8948,302.57,26,IBM,2025-12-03 07:53:08.808114,302.59,113.0,302.59,99.0,302.04,72.0,301.78,1960.0,301.83,441275.0,302.33959999999996,0.3370916789269107,109.6,302.07280000000003,0.38248683346950885,304098.4,302.41790000000003,0.5942932910512269,200902.85,0.675200000000018,0.22365406757586354,-6.609603754248461e-05,0.675200000000018,0.22315497240308624,16,1,12,302.33959999999996,302.41790000000003,302.39633361413655,302.4604873962465,36.41456582633033,302.3
2025-12-02 16:50:00,301.9,302.5788,301.9,302.3,13,IBM,2025-12-03 07:53:08.808114,302.57,26.0,302.59,113.0,302.59,99.0,301.908,238.0,301.78,2073486.0,302.418,0.24447903795971113,64.6,302.12479999999994,0.373499010856602,96751.1,302.3919,0.5871071721397677,199793.2,0.4000000000000341,0.13249420337861348,-0.0008923554879861628,0.6788000000000238,0.2245451538207158,16,1,12,302.418,302.3919,302.36422240942437,302.44520288231826,34.210526315789664,302.12
2025-12-02 16:55:00,302.46,302.58,302.0,302.12,474,IBM,2025-12-03 07:53:08.808114,302.3,13.0,302.57,26.0,302.59,113.0,302.04,72.0,301.51,760.0,302.43399999999997,0.2143128554279919,145.0,302.18580000000003,0.30556825024091594,96722.5,302.37739999999997,0.5902095435200582,197344.15,-0.339999999999975,-0.11241155855318885,-0.0005954349983460228,0.5799999999999841,0.19197669800078912,16,1,12,302.43399999999997,302.37739999999997,302.2828149396163,302.4142311792403,34.71295060080132,302.0
2025-12-02 17:00:00,302.5,302.5,301.87,302.0,27,IBM,2025-12-03 07:53:08.808114,302.12,474.0,302.3,13.0,302.57,26.0,302.59,99.0,302.0,964219.0,302.316,0.2636854186370429,130.6,302.18580000000003,0.30556825024091594,303.3,302.3524,0.5953105691008619,194790.95,-0.5,-0.1652892561983471,-0.0003971931682774654,0.6299999999999955,0.2086092715231773,17,1,12,302.316,302.3524,302.18854329307754,302.37478059074124,46.428571428571644,302.25
2025-12-02 17:05:00,302.48,302.48,301.9,302.25,141,IBM,2025-12-03 07:53:08.808114,302.0,27.0,302.12,474.0,302.3,13.0,302.59,113.0,301.96,11.0,302.248,0.21463923220569542,136.2,302.2148,0.295347930413831,316.3,302.34265,0.5953110001008554,191798.4,-0.2300000000000182,-0.07603808516266139,0.0008278145695364003,0.5800000000000409,0.19189412737801187,17,1,12,302.248,302.34265,302.2090288620517,302.36289672495633,57.835820895522666,302.3977
2025-12-02 17:10:00,302.48,302.48,302.3977,302.3977,22,IBM,2025-12-03 07:53:08.808114,302.25,141.0,302.0,27.0,302.12,474.0,302.57,26.0,301.78,1960.0,302.21354,0.1557791963064396,135.4,302.27657000000005,0.2563243693702445,122.5,302.306535,0.566902022792582,188899.15,-0.08230000000003201,-0.02720841047343031,0.000488668320926422,0.08230000000003201,0.027215815464215507,17,1,12,302.21354,302.306535,302.2719192413678,302.36621132257955,61.118911329517545,302.05
2025-12-02 17:15:00,302.3,302.3,301.87,302.05,74,IBM,2025-12-03 07:53:08.808114,302.3977,22.0,302.25,141.0,302.0,27.0,302.3,13.0,301.908,238.0,302.16354,0.16112001117774333,147.6,302.29076999999995,0.23682937153558847,106.1,302.232035,0.4887981751989784,185258.25,-0.25,-0.08269930532583526,-0.0011498103325520148,0.4300000000000068,0.1423605363350461,17,1,12,302.16354,302.232035,302.1979461609119,302.3360959585243,59.45576801849172,302.01
2025-12-02 17:20:00,302.05,302.05,301.9,302.01,52,IBM,2025-12-03 07:53:08.808114,302.05,74.0,302.3977,22.0,302.25,141.0,302.12,474.0,302.04,72.0,302.14153999999996,0.17542621811443648,63.2,302.28777,0.24052016801495998,104.1,302.157535,0.38866226479786753,182801.95,-0.040000000000020464,-0.01324284058931318,-0.00013242840589311466,0.1500000000000341,0.04966722956194634,17,1,12,302.14153999999996,302.157535,302.1352974406079,302.3050392005696,50.20786563565293,302.04
